,Airport Name,Country,City,Latitude,Longitude
AAQ,Vityazevo,Russian Federation,Anapa,45.002097,37.347272
AAA,Anaa,French Polynesia,Anaa,-17.355,-145.508333
AAB,Arrabury,Australia,Arrabury,-26.690556,141.0475
AAC,Al Arish International Airport,Egypt,Al Arish,31.073333,33.835833
AAD,Ad-Dabbah,Sudan,Ad-Dabbah,17.592777777778,33.959166666667
AAE,Les Salines,Algeria,Annaba,36.822222,7.809444
AAF,Municipal,United States,Apalachicola,29.727607,-85.027442
AAG,Arapoti,Brazil,Arapoti,-24.103875,-49.789078
AAH,Aachen/Merzbruck,Germany,Aachen,50.823056,6.186111
AAI,Arraias,Brazil,Arraias,-13.025,-46.884
AAJ,Cayana Airstrip,Suriname,Awaradam,3.898611,-55.577778
AAK,Aranuka,Kiribati,Aranuka,0.185278,173.636667
AAL,Aalborg,Denmark,Aalborg,57.092789,9.849164
AAM,Mala Mala,South Africa,Mala Mala,-24.818111,31.544584
AAN,Al Ain,United Arab Emirates,Al Ain,24.261667,55.609167
AAO,Anaco,Venezuela,Anaco,9.430225,-64.470725
AAP,Andrau Airpark,United States,"Houston, TX",72.886944,-55.596111
AAR,Aarhus Airport,Denmark,Aarhus,56.300017,10.619008
AAS,Apalapsili,Indonesia,Apalapsili,-3.883,139.283
AAT,Altay,China,Altay,47.749,88.089
AAU,Asau,Samoa,Asau,-13.505778,-172.627972
AAV,Allah Valley,Philippines,Surallah,6.366817,124.751294
AAW,Abbottabad,Pakistan,Abbottabad,34.15,73.217
AAX,Araxa,Brazil,Araxa,-19.563247,-46.960358
AAY,Al Ghaydah,Yemen,Al Ghaydah,16.191666,52.175
AAZ,Ambriz,Angola,Ambriz,14.86555,-91.501981
ABA,Abakan,Russian Federation,Abakan,53.74,91.385
ABB,RAF Station,United Kingdom,Abingdon,51.690556,-1.316667
ABC,Los Llanos,Spain,Albacete,38.948528,-1.863517
ABD,Abadan,Iran,Abadan,30.371111,48.228333
ABF,Abaiang,Kiribati,Abaiang,1.798611,173.040556
ABG,Abingdon,Australia,Abingdon,-17.617,143.167
ABH,Alpha,Australia,Alpha,-23.646111,146.583611
ABI,Municipal,United States,Abilene,32.411306,-99.681889
ABJ,Felix Houphouet Boigny,Cote D&#039;Ivoire,Abidjan,5.261386,-3.926294
ABK,Kabri Dar,Ethiopia,Kabri Dar,6.734,44.253
ABL,Ambler,United States,Ambler,67.106314,-157.857472
ABM,Bamaga Injinoo,Australia,"Bamaga, Queensland",-10.950833,142.459444
ABN,Albina,Suriname,Albina,5.513,-54.05
ABO,Aboisso,Cote D&#039;Ivoire,Aboisso,5.433,-3.267
ABP,Atkamba,Papua New Guinea,Atkamba,-6.05,141.083
ABQ,Albuquerque International,United States,Albuquerque,35.040194,-106.609194
ABR,Municipal,United States,Aberdeen,45.449056,-98.421833
ABS,Abu Simbel,Egypt,Abu Simbel,22.375953,31.611722
ABT,Al-Aqiq,Saudi Arabia,Al-Baha,20.296139,41.634277
ABU,Atambua,Indonesia,Atambua,-9.074444,124.904444
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja,9.006792,7.263172
ABW,Abau,Papua New Guinea,Abau,-10.2,148.733
ABX,Albury,Australia,Albury,-36.067778,146.958056
ABY,Dougherty County,United States,Albany,31.535515,-84.194473
ABZ,Dyce,United Kingdom,Aberdeen,57.201944,-2.197778
ACB,Antrim County,United States,Bellaire,44.988576,-85.198355
ACC,Kotoka,Ghana,Accra,5.605186,-0.166786
ACD,Acandi,Colombia,Acandi,8.5,-73.633
ACE,Lanzarote,Spain,Arrecife,28.945464,-13.605225
ACH,Altenrhein,Switzerland,Altenrhein,47.485033,9.560775
ACI,The Blaye,United Kingdom,Alderney,49.706111,-2.214722
ACJ,Anuradhapura,Sri Lanka,Anuradhapura,32.110799,-84.188848
ACK,Nantucket Memorial,United States,Nantucket,41.253111,-70.060306
ACL,Aguaclara,Colombia,Aguaclara,4.749,-72.994
ACM,Arica,Colombia,Arica,-2.133,-71.783
ACN,International,Mexico,Ciudad Acuna,29.333917,-101.100892
ACO,Ascona,Switzerland,Ascona,46.157778,8.781944
ACP,Sahand,Iran,Sahand,37.348017,46.127903
ACR,Araracuara,Colombia,Araracuara,-0.601111,-72.397778
ACS,Achinsk,Russian Federation,Achinsk,56.268333,90.570833
ACT,Municipal,United States,Waco,31.6117,-97.230284
ACU,Achutupo,Panama,Achutupo,9.183,-78.017
ACV,Arcata,United States,Arcata,40.978111,-124.108611
ACX,Xingyi,China,Xingyi,25.155,104.971
ACY,Atlantic City Intl,United States,Atlantic City,39.457583,-74.577167
ACZ,Zabol A/P,Iran,Zabol,31.098333,61.543889
ADA,Adana,Turkey,Adana,36.982166,35.280388
ADB,Adnan Menderes,Turkey,Izmir,38.292392,27.156953
ADC,Andakombe,Papua New Guinea,Andakombe,46.45027,-95.210955
ADD,Bole International,Ethiopia,Addis Ababa,8.977889,38.799319
ADE,International,Yemen,Aden,12.829542,45.028792
ADF,Adiyaman,Turkey,Adiyaman,37.731369,38.468936
ADG,Lenawee County,United States,Adrian,41.867674,-84.077306
ADH,Aldan,Russian Federation,Aldan,58.602778,125.408889
ADI,Arandis,Namibia,Arandis,-22.462223,14.98
ADJ,Marka International Airport,Jordan,Amman,31.972703,35.991569
ADK,Adak Island NS,United States,Adak Island,51.877964,-176.646031
ADL,Adelaide International Airport,Australia,Adelaide,-34.945,138.530556
ADM,Ardmore Municipal Arpt,United States,Ardmore,34.30425,-97.020583
ADN,Andes,Colombia,Andes,5.656,-75.879
ADO,Andamooka,Australia,Andamooka,-30.437778,137.137222
ADP,Ampara,Sri Lanka,Ampara,8.301486,80.4279
ADQ,Kodiak Airport,United States,Kodiak,57.749968,-152.493855
ADR,Andrews,United States,Andrews,33.4517,-79.526177
ADS,Addison Airport,United States,Dallas,32.968559,-96.836448
ADT,Ada,United States,Ada,34.804262,-96.6712
ADU,Ardabil,Iran,Ardabil,38.325678,48.424356
ADV,Andover,United Kingdom,Andover,51.207,-1.528
ADW,Andrews AFB,United States,Camp Springs,38.810833,-76.867
ADX,Leuchars,United Kingdom,St Andrews,56.372889,-2.868444
ADY,Alldays,South Africa,Alldays,-22.679017,29.055517
ADZ,San Andres Island,Colombia,San Andres Island,12.583683,-81.710919
AEA,Abemama Atoll,Kiribati,Abemama Atoll,0.490833,173.828611
AED,Aleneva,United States,Aleneva,58.03333333,-152.9
AEG,Aek Godang,Indonesia,Aek Godang,1.400103,99.430453
AEH,Abecher,Chad,Abecher,13.847,20.844333
AEI,Algeciras,Spain,Algeciras,0.0,0.0
AEK,Aseki,Papua New Guinea,Aseki,-7.35,146.183
AEL,Albert Lea,United States,Albert Lea,43.681528,-93.36725
AEO,Aioun El Atrouss,Mauritania,Aioun El Atrouss,16.711293,-9.637883
AEP,Arpt. Jorge Newbery,Argentina,Buenos Aires,-34.559175,-58.415606
AER,Adler - Sochi,Russian Federation,Adler,43.449928,39.956589
AES,Vigra,Norway,Aalesund,62.560372,6.110164
AET,Allakaket,United States,Allakaket,66.551833,-152.622167
AEU,Abu Musa,Iran,Abu Musa,25.875742,55.032994
AEX,Alexandria International,United States,"Alexandria, LA",31.327372,-92.548556
AEY,Akureyri,Iceland,Akureyri,65.65861,-18.072222
AFA,San Rafael,Argentina,San Rafael,-34.588314,-68.403854
AFD,Port Alfred,South Africa,Port Alfred,-33.554167,26.879722
AFF,USAF Academy Airstrip,United States,Colorado Springs,38.969715,-104.812831
AFI,Amalfi,Colombia,Amalfi,6.916667,-75.066667
AFK,Kondavattavan Tank,Sri Lanka,Ampara,40.605444,-95.86775
AFL,Alta Floresta,Brazil,Alta Floresta,-9.866092,-56.106206
AFN,Municipal,United States,Jaffrey,42.805134,-72.003022
AFO,Municipal,United States,Afton,42.708778,-110.942167
AFR,Afore,Papua New Guinea,Afore,-9.133,148.383
AFS,Zarafshan,Uzbekistan,Zarafshan,41.613611,64.232777
AFT,Afutara Aerodrome,Solomon Islands,Afutara,-9.191111,160.949167
AFW,Fort Worth Alliance,United States,"Fort Worth, TX",32.987639,-97.318806
AFY,Afyon,Turkey,Afyon,38.726425,30.601114
AFZ,Sabzevar,Iran,Sabzevar,36.168083,57.595183
AGA,Agadir Almassira,Morocco,Agadir,30.324997,-9.413067
AGB,Augsburg - Muehlhausen,Germany,Munich,48.425158,10.931764
AGC,Allegheny County,United States,Pittsburgh,40.354401,-79.930169
AGD,Anggi,Indonesia,Anggi,-1.383,133.867
AGE,Flugplatz,Germany,Wangerooge,53.788333,7.920556
AGF,La Garenne,France,Agen,44.174714,0.590619
AGG,Angoram,Papua New Guinea,Angoram,-4.05,144.067
AGH,Angelholm,Sweden,Angelholm/Helsingborg,56.296072,12.847139
AGI,Wageningen,Suriname,Wageningen,5.833,-56.65
AGJ,Aguni,Japan,Aguni,26.592499,127.240833
AGK,Kagua,Papua New Guinea,Kagua,-6.383,143.85
AGL,Wanigela,Papua New Guinea,Wanigela,-9.333,149.15
AGM,Tasiilaq,Greenland,Tasiilaq,65.612222,-37.618333
AGN,Angoon,United States,Angoon,57.503555,-134.585094
AGO,Municipal,United States,Magnolia,33.227468,-93.216992
AGP,Pablo Ruiz Picasso,Spain,Malaga,36.6749,-4.499106
AGQ,Agrinion,Greece,Agrinion,38.602022,21.351208
AGR,Kheria,India,Agra,27.155831,77.960892
AGS,Bush Field,United States,Augusta,33.369943,-81.9645
AGT,Alejo Garcia,Paraguay,Ciudad Del Este,-25.4555,-54.843592
AGU,Aguascalients,Mexico,Aguascalientes,21.705558,-102.317858
AGV,Acarigua,Venezuela,Acarigua,9.553422,-69.237536
AGW,Agnew,Australia,Agnew,-12.145556,142.149167
AGX,Agatti Island,India,Agatti Island,10.823656,72.176042
AGY,Argyle Downs,Australia,Argyle Downs,-16.333,128.767
AGZ,Aggeneys,South Africa,Aggeneys,-29.281767,18.813869
AHA,Naha Air Force Base,Japan,Okinawa,26.2,127.65
AHB,Abha,Saudi Arabia,Abha,18.240367,42.656625
AHC,Amedee AAF,Norway,Herlong,40.265918,-120.150613
AHD,Downtown,United States,Ardmore,34.146989,-97.122652
AHE,Ahe Airport,French Polynesia,Ahe,-14.427778,-146.255
AHF,Municipal,Guatemala,Arapahoe,40.339451,-99.906513
AHH,Municipal,United States,Amery,45.281148,-92.375392
AHI,Amahai,Indonesia,Amahai,-3.348,128.926
AHL,Aishalton,Guyana,Aishalton,2.473604,-59.32111
AHN,Athens,Greece,Athens,33.948595,-83.326347
AHO,Fertilia,Italy,Alghero,40.632133,8.290772
AHS,Ahuas,Honduras,Ahuas,15.472222,-84.352222
AHT,Amchitka,United States,Amchitka,51.5,179.0
AHU,Charif Al Idrissi,Morocco,Al Hoceima,35.177103,-3.839525
AHY,Ambatolahy,Madagascar,Ambatolahy,-20.0,45.533
AHZ,Alpe D Huez,France,Alpe D Huez,45.088333,6.084722
AIA,Alliance,United States,Alliance,42.053222,-102.803778
AIB,Anita Bay,United States,Anita Bay,56.233333333333,-132.38333333333
AIC,Airok,Marshall Islands,"Airok, Ailinglaplap",7.1,171.233
AID,Municipal,United States,Anderson,40.108611,-85.613
AIE,Aiome,Papua New Guinea,Aiome,-5.133,144.717
AIF,Assis,Brazil,Assis,-22.638564,-50.455914
AIG,Yalinga,Central African Republic,Yalinga,6.52,23.26
AIH,Aiambak,Papua New Guinea,Aiambak,-7.35,141.26666666667
AII,Alisabieh,Djibouti,Alisabieh,11.133,42.717
AIK,Municipal,United States,Aiken,33.649376,-81.685036
AIL,Ailigandi,Panama,Ailigandi,9.217,-78.017
AIM,Ailuk Island,Marshall Islands,Ailuk Island,10.2,169.983
AIN,Wainwright,United States,Wainwright,70.638,-159.99475
AIO,Municipal,United States,Atlantic,41.403833,-95.04875
AIP,Ailinglapalap Island,Marshall Islands,Ailinglapalap Island,7.267,168.817
AIR,Aripuana,Brazil,Aripuana,-10.186389,-59.4575
AIS,Arorae Island,Kiribati,Arorae Island,-2.616111,176.8025
AIT,Aitutaki,Cook Islands,Aitutaki,-18.830922,-159.764233
AIU,Atiu Island,Cook Islands,Atiu Island,-19.967778,-158.119167
AIV,George Downer,United States,Aliceville,33.106465,-88.197792
AIW,Ai-ais,Namibia,Ai-ais,-27.983333333333,17.583055555556
AIY,Bader Field,United States,Atlantic City,39.366666666667,-74.45
AIZ,Lee C Fine Memorial,United States,Kaiser/Lake Ozark,38.096035,-92.549488
AJA,Campo Dell Oro,France,Ajaccio,41.923889,8.8025
AJF,Jouf,Saudi Arabia,Sakaka Al Jouf,29.785133,40.100006
AJI,A&amp;#287;ri,Italy,Agri,39.654569,43.02715
AJJ,Akjoujt,Mauritania,Akjoujt,19.731667,-14.379444
AJK,Araak,Iran,Araak,34.138147,49.847292
AJL,Aizawl,India,Aizawl,23.746603,92.802767
AJN,Ouani,Comoros,Anjouan,-12.131667,44.430279
AJO,Aljouf,Yemen,Aljouf,15.717,44.25
AJR,Arvidsjaur,Sweden,Arvidsjaur,65.590278,19.281944
AJS,Abreojos,Mexico,Abreojos,26.727222,-113.559444
AJU,Santa Maria,Brazil,Aracaju,-10.984,-37.070333
AJY,Agades,Niger,Agades,16.965997,8.000114
AKA,Ankang,China,Ankang,32.708056,108.931389
AKB,Atka,United States,Atka,52.220586,-174.206183
AKC,Fulton International,South Africa,Akron/Canton,41.0375,-81.466917
AKD,Akola,India,Akola,20.699006,77.058628
AKE,Akieni,Gabon,Akieni,-1.129436,13.920506
AKF,Kufrah,Libya,Kufrah,24.178728,23.313958
AKG,Anguganak,Papua New Guinea,Anguganak,-3.55,142.217
AKH,Prince Sultan Air Base,Saudi Arabia,Al Kharj,24.0627,47.580536
AKI,Akiak,United States,Akiak,60.902889,-161.230583
AKJ,Asahikawa,Japan,Asahikawa,43.670833,142.4475
AKK,Akhiok SPB,United States,Akhiok,56.938691,-154.182556
AKL,Auckland International,New Zealand,Auckland,-37.008056,174.791667
AKM,Zakouma,Chad,Zakouma,10.9,19.817
AKN,King Salmon,United States,King Salmon,58.676493,-156.648691
AKO,Colorado Plains Regional Airport,United States,"Akron, CO",40.175633,-103.222028
AKP,Anaktuvuk,United States,Anaktuvuk,68.133597,-151.743342
AKQ,Gunung Batin,Indonesia,Astraksetra,-4.612,105.232
AKR,Akure,Nigeria,Akure,7.246739,5.301008
AKT,Akrotiri Raf,Cyprus,Akrotiri,34.590416,32.987861
AKU,Aksu,China,Aksu,41.2625,80.291667
AKV,Akulivik,Canada,Akulivik,60.818611,-78.148611
AKW,Aghajari,Iran,Aghajari,30.74445,49.677183
AKX,Aktyubinsk,Kazakhstan,Aktyubinsk,50.245833,57.206667
AKY,Civil,Myanmar,Sittwe,20.132708,92.872628
ALA,Almaty,Kazakhstan,Almaty,43.352072,77.040508
ALB,Albany International,United States,Albany,42.749111,-73.801972
ALC,Alicante El Altet,Spain,Alicante,38.282169,-0.558156
ALD,Alerta,Peru,Alerta,-11.683,-69.333
ALE,Alpine,United States,Alpine,30.384222,-103.683583
ALF,Alta,Norway,Alta,69.976111,23.371667
ALG,Houari Boumediene,Algeria,Algiers,36.694444,3.216944
ALH,Albany,Australia,Albany,-34.943333,117.808889
ALI,International,United States,Alice,27.740889,-98.026944
ALJ,Kortdoorn,South Africa,Alexander Bay,-28.575001,16.533332
ALK,Asela,Ethiopia,Asela,7.967,39.117
ALL,Albenga,Italy,Albenga,44.050608,8.127428
ALM,Municipal,United States,Alamogordo,32.839944,-105.990583
ALN,Alton,United States,Alton,38.889917,-90.045989
ALO,Waterloo,United States,Waterloo,42.557081,-92.400344
ALP,Nejrab,Syria,Aleppo,36.180675,37.224358
ALQ,Federal,Brazil,Alegrete,-29.800274,-55.763054
ALR,Alexandra,New Zealand,Alexandra,-45.211667,169.373333
ALS,Municipal,United States,Alamosa,37.434917,-105.866556
ALT,Alenquer,Brazil,Alenquer,-1.917499,-54.721111
ALU,Alula,Somalia,Alula,11.95,50.733
ALV,Andorra La Vella H/P,Andorra,Andorra La Vella,42.506,1.522
ALW,Walla Walla,United States,Walla Walla,46.094778,-118.289
ALX,Thomas C Russell Fld,United States,Alexander City,32.914744,-85.962956
ALY,El Nohza,Egypt,Alexandria,31.183903,29.948889
ALZ,Alitak SPB,United States,Alitak,56.899487,-154.247847
AMA,Rick Husband Amarillo International,United States,"Amarillo, TX",35.219361,-101.705917
AMB,Ambilobe,Madagascar,Ambilobe,-13.188431,48.987978
AMC,Am Timan,Chad,Am Timan,11.034,20.274
AMD,Ahmedabad,India,Ahmedabad,23.077242,72.63465
AME,Alto Molocue,Mozambique,Alto Molocue,-15.633,37.7
AMF,Ama,Papua New Guinea,Ama,-4.1,141.667
AMG,Amboin,Papua New Guinea,Amboin,-4.6,143.5
AMH,Arba Mintch,Ethiopia,Arba Mintch,6.039389,37.590453
AMI,Selaparang,Indonesia,Mataram,-8.560708,116.094656
AMJ,Almenara,Brazil,Almenara,-16.165963,-40.684436
AMK,Animas Airpark,United States,Durango,37.203178,-107.869195
AML,Puerto Armuellas,Panama,Puerto Armuellas,8.268056,-82.864944
AMM,Queen Alia Intl,Jordan,Amman,31.722556,35.993214
AMN,Gratiot Community,United States,Alma,43.322139,-84.687944
AMO,Mao,Chad,Mao,14.145556,15.314444
AMP,Ampanihy,Madagascar,Ampanihy,-24.699722,44.734167
AMQ,Pattimura,Indonesia,Ambon,-3.710264,128.089136
AMR,Arno,Marshall Islands,Arno,7.083,171.683
AMS,Amsterdam-Schiphol,Netherlands,Amsterdam,52.308613,4.763889
AMT,Amata,Australia,Amata,-26.102778,131.206667
AMU,Amanab,Papua New Guinea,Amanab,-3.583,141.2
AMV,Amderma,Russian Federation,Amderma,69.763333,61.556389
AMW,Ames,United States,Ames,41.992056,-93.621833
AMX,Ammaroo,Australia,Ammaroo,-21.739167,135.243056
AMY,Ambatomainty,Madagascar,Ambatomainty,-17.683,45.617
AMZ,Ardmore,New Zealand,Ardmore,-37.029722,174.973333
ANA,Orange County Steel Salvage Heliport,United States,Anaheim,33.8125,-117.918889
ANB,Anniston Metropolitan,United States,Anniston,33.588167,-85.858111
ANC,Ted Stevens Anchorage International Airport,United States,Anchorage,61.174361,-149.996361
AND,Anderson,United States,Anderson,34.494583,-82.709389
ANE,Marce,France,Angers,47.560211,-0.312128
ANF,Cerro Moreno,Chile,Antofagasta,-23.444478,-70.4451
ANG,Brie-Champniers,France,Angouleme,45.729475,0.219153
ANH,Anuha Island Resort,Solomon Islands,Anuha Island Resort,-8.983,160.5
ANI,Aniak,United States,Aniak,61.581597,-159.543043
ANJ,Zanaga,Congo,Zanaga,-2.85,13.817
ANK,Etimesgut,Turkey,Ankara,39.949831,32.688622
ANL,Andulo,Angola,Andulo,-11.471389,16.710833
ANM,Antsirabato,Madagascar,Antalaha,-14.999411,50.320233
ANN,Annette Island,United States,Annette Island,55.042437,-131.572232
ANO,Angoche,Mozambique,Angoche,-16.181944,39.944722
ANP,Lee,United States,Annapolis,38.942878,-76.568399
ANQ,Tri-State Steuben Cty,United States,Angola,41.639698,-85.083493
ANR,Deurne,Belgium,Antwerp,51.189444,4.460278
ANS,Andahuaylas,Peru,Andahuaylas,-13.706408,-73.350378
ANT,St Anton,Austria,St Anton,0.0,0.0
ANU,V. C. Bird Intl,Antigua And Barbuda,St. John&#039;s,17.136667,-61.792778
ANV,Anvik,United States,Anvik,62.647328,-160.190067
ANW,Ainsworth,United States,Ainsworth,42.579228,-99.992967
ANX,Andenes,Norway,Andenes,69.2925,16.144167
ANY,Anthony,United States,Anthony,37.158522,-98.079647
ANZ,Angus Downs,Australia,Angus Downs,-25.034,132.276
AOA,Aroa,Papua New Guinea,Aroa,-9.017,146.8
AOB,Annanberg,Papua New Guinea,Annanberg,-4.917,144.65
AOC,Altenburg Nobitz,Germany,Altenburg,50.981817,12.506361
AOD,Abou Deia,Chad,Abou Deia,11.467,19.283
AOE,Anadolu University,Turkey,Eskisehir,39.811666666667,30.528611111111
AOG,Anshan,China,Anshan,41.105278,122.853889
AOH,Allen County,United States,Lima,40.707478,-84.027078
AOI,Falconara,Italy,Ancona,43.616342,13.362319
AOJ,Aomori,Japan,Aomori,40.734722,140.690833
AOK,Karpathos,Greece,Karpathos,35.421408,27.146008
AOL,Paso De Los Libres,Argentina,Paso De Los Libres,-29.689425,-57.152078
AON,Arona,Solomon Islands,Arona,-6.3,146.017
AOO,Martinsburg,United States,Martinsburg,40.296361,-78.320028
AOR,Alor Setar,Malaysia,Alor Setar,6.189667,100.398183
AOS,Amook,United States,Amook,57.466666666667,-153.83333333333
AOT,Corrado Gex,Italy,Aosta,45.738456,7.368719
AOU,Attopeu,Laos,Attopeu,14.8,106.833
APA,Arapahoe Co,United States,Denver,39.570111,-104.849306
APB,Apolo,Bolivia,Apolo,-14.733,-68.417
APC,Napa County,United States,Napa,38.213194,-122.280694
APE,San Juan Aposento,Peru,San Juan Aposento,-15.35,-75.167
APF,Naples,United States,Naples,26.152287,-81.775793
APG,Phillips AAF,United States,Aberdeen,39.466219,-76.168808
APH,Camp A P Hill,United States,Bowling Green,38.068833,-77.318333
API,Apiay,Colombia,Apiay,4.076069,-73.562731
APK,Apataki,French Polynesia,Apataki,-15.573611,-146.415278
APL,Nampula,Mozambique,Nampula,-15.105611,39.2818
APN,Alpena County Regional,United States,Alpena,45.078083,-83.560306
APO,Apartado,Colombia,Apartado,7.811817,-76.716325
APP,Asapa,Papua New Guinea,Asapa,-8.967,148.1
APQ,Arapiraca,Brazil,Arapiraca,-9.775358,-36.6292
APR,April River,Papua New Guinea,April River,-4.7,142.533
APS,Anapolis,Brazil,Anapolis,-16.362336,-48.927053
APT,Marion County,United States,Jasper,35.060678,-85.585317
APU,Apucarana,Brazil,Apucarana,-23.609511,-51.384486
APV,Apple Valley,United States,Apple Valley,34.575333,-117.186194
APW,Faleolo,Samoa,Apia,-13.829667,-171.997167
APX,Arapongas,Brazil,Arapongas,-23.352856,-51.491656
APY,Alto Parnaiba,Brazil,Alto Parnaiba,-9.083605,-45.950554
APZ,Zapala,Argentina,Zapala,-38.9755,-70.113581
AQA,Araraquara,Brazil,Araraquara,-21.812,-48.133028
AQB,Quiche Airport,Guatemala,Quiche,15.012222,-91.150556
AQG,Anqing,China,Anqing,30.582222,117.050278
AQI,Qaisumah,Saudi Arabia,Qaisumah,28.335192,46.125069
AQJ,King Hussein Intl,Jordan,Aqaba,29.611619,35.018067
AQM,Ariquemes,Brazil,Ariquemes,-10.177778,-62.826111
AQP,Rodriguez Ballon,Peru,Arequipa,-16.341072,-71.583083
AQS,Saqani,Fiji,Saqani,-16.45,179.733
AQY,Alyeska,United States,Alyeska,60.966096,-149.125789
ARA,Acadiana Regional,United States,New Iberia,30.037758,-91.883896
ARB,Municipal,United States,"Ann Arbor, MI",42.222984,-83.745607
ARC,Arctic Village,United States,Arctic Village,68.114669,-145.579415
ARD,Alor Island,Indonesia,Alor Island,-8.132336,124.597014
ARE,Arecibo,Puerto Rico,Arecibo,18.451111,-66.675556
ARF,Acaricuara,Colombia,Acaricuara,0.567,-72.4
ARG,Walnut Ridge,United States,Walnut Ridge,36.124667,-90.925111
ARH,Talagi,Russian Federation,Arkhangelsk,64.60028,40.716667
ARI,Chacalluta,Chile,Arica,-18.348531,-70.338742
ARJ,Arso,Indonesia,Arso,-2.917,140.783
ARK,Arusha,Tanzania,Arusha,-3.367794,36.633333
ARL,Arly,Burkina Faso,Arly,11.597,1.483
ARM,Armidale,Australia,Armidale,-30.528056,151.617222
ARN,Arlanda,Sweden,Stockholm,59.651944,17.918611
ARO,Arboletas,Colombia,Arboletas,8.833,-76.433
ARP,Aragip,Papua New Guinea,Aragip,-9.867,149.483
ARQ,Arauquita,Colombia,Arauquita,7.021058,-71.388864
ARR,Alto Rio Senguerr,Argentina,Alto Rio Senguerr,-45.017,-70.8
ARS,Aragarcas,Brazil,Aragarcas,-15.896733,-52.095564
ART,Watertown,United States,Watertown,43.991917,-76.02175
ARU,Aracatuba,Brazil,Aracatuba,-21.141342,-50.424722
ARV,Noble F. Lee,United States,Minocqua,45.927917,-89.730944
ARW,Arad,Romania,Arad,46.17655,21.262022
ARX,Asbury Park,United States,"Neptune, NJ",40.219444444444,-74.09
ARY,Ararat,Australia,Ararat,-37.309444,142.988611
ASA,Assab International,Eritrea,Assab,13.071783,42.645006
ASB,Ashgabat,Turkmenistan,Ashgabat,37.986814,58.360967
ASC,Ascension,Bolivia,Ascension,-15.717,-63.1
ASD,Andros Town,Bahamas,Andros Town,24.698283,-77.795611
ASE,Aspen,United States,Aspen,39.223167,-106.868861
ASF,Astrakhan,Russian Federation,Astrakhan,46.283333,48.006278
ASG,Ashburton,New Zealand,Ashburton,-43.903333,171.796667
ASH,Boire Field,United States,"Nashua, NH",42.78175,-71.514778
ASI,Wideawake Field,St. Helena,"Georgetown, Ascension Island",-7.969597,-14.393664
ASJ,Amami O Shima,Japan,Amami O Shima,28.430633,129.712542
ASK,Yamoussoukro,Cote D&#039;Ivoire,Yamoussoukro,6.903167,-5.365581
ASL,Harrison County,United States,Marshall,32.5205,-94.307778
ASM,Yohannes IV,Eritrea,Asmara,15.291853,38.910667
ASN,Talladega,United States,Talladega,33.569471,-86.05123
ASO,Asosa,Ethiopia,Asosa,10.01855,34.586253
ASP,Alice Springs,Australia,Alice Springs,-23.806667,133.902222
ASQ,Austin,United States,Austin,39.467981,-117.19537
ASR,Erkilet International Airport,Turkey,Kayseri,38.770386,35.495428
AST,Astoria,United States,Astoria,46.157972,-123.878694
ASU,Silvio Pettirossi,Paraguay,Asuncion,-25.23985,-57.519133
ASV,Amboseli,Kenya,Amboseli,-2.633,37.25
ASW,Aswan,Egypt,Aswan,23.964356,32.819975
ASX,Ashland,United States,Ashland,46.548528,-90.918972
ASY,Ashley,United States,Ashley,46.023863,-99.352614
ASZ,Asirim,Papua New Guinea,Asirim,-5.867,150.367
ATA,Anta,Peru,Anta,-9.347444,-77.598392
ATB,Atbara,Sudan,Atbara,17.709722,34.056944
ATD,Atoifi,Solomon Islands,Atoifi,-8.873333,161.011389
ATE,Antlers,United States,Antlers,34.192601,-95.649859
ATF,Chachoan,Ecuador,Ambato,-1.212067,-78.574636
ATG,Attock,Pakistan,Attock,33.9,72.25
ATH,Eleftherios Venizelos,Greece,Athens,37.936358,23.944467
ATI,Artigas,Uruguay,Artigas,-30.400706,-56.507869
ATJ,Antsirabe,Madagascar,Antsirabe,-19.836944,47.065278
ATK,Atqasuk,United States,Atqasuk,70.467276,-157.435736
ATL,Hartsfield-jackson Atlanta International,United States,"Atlanta, GA",33.63672,-84.428066
ATM,Altamira,Brazil,Altamira,-3.253906,-52.253978
ATN,Namatanai,Papua New Guinea,Namatanai,-3.667,152.433
ATO,Ohio University,Greece,Athens,39.211893,-82.229255
ATP,Airstrip,Papua New Guinea,Aitape,-3.133,142.333
ATQ,Raja Sansi,India,Amritsar,31.709594,74.797264
ATR,Mouakchott,Mauritania,Atar,20.506828,-13.043194
ATS,Artesia,United States,Artesia,32.852528,-104.467686
ATT,Atmautluak,United States,Atmautluak,60.866746,-162.273139
ATU,Casco Cove,United States,Attu Island,52.832542,173.175554
ATV,Ati,Chad,Ati,13.238889,18.313333
ATW,Outagamie County,United States,Appleton,44.258083,-88.519083
ATX,Atbasar,Kazakhstan,Atbasar,51.851667,68.363333
ATY,Watertown,United States,Watertown,44.913972,-97.154722
ATZ,Assiut,Egypt,Assiut,27.046508,31.011983
AUA,Reina Beatrix,Aruba,Aruba,12.501389,-70.015221
AUB,Itauba,Brazil,Itauba,-7.1,-41.983333333333
AUC,Arauca,Colombia,Arauca,7.068889,-70.736944
AUD,Augustus Downs,Australia,Augustus Downs,-18.5075,139.883611
AUE,Abu Rudeis,Egypt,Abu Rudeis,28.899017,33.202461
AUF,Auxerre Branches,France,Auxerre,47.846328,3.496578
